codec,generator,label,language,license,path,source_id,speaker_id,split,condition,condition_detail
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_4635024.wav,LA_E_4635024,LA_0014,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_4635024.wav,LA_E_4635024,LA_0014,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_4635024.wav,LA_E_4635024,LA_0014,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_4635024.wav,LA_E_4635024,LA_0014,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_4977950.wav,LA_E_4977950,LA_0007,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_4977950.wav,LA_E_4977950,LA_0007,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_4977950.wav,LA_E_4977950,LA_0007,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_4977950.wav,LA_E_4977950,LA_0007,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_4977950.wav,LA_E_4977950,LA_0007,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_4977950.wav,LA_E_4977950,LA_0007,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_7492191.wav,LA_E_7492191,LA_0016,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_7492191.wav,LA_E_7492191,LA_0016,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_7492191.wav,LA_E_7492191,LA_0016,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_7492191.wav,LA_E_7492191,LA_0016,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_7492191.wav,LA_E_7492191,LA_0016,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_7492191.wav,LA_E_7492191,LA_0016,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_2898438.wav,LA_E_2898438,LA_0047,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_2898438.wav,LA_E_2898438,LA_0047,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_2898438.wav,LA_E_2898438,LA_0047,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_2898438.wav,LA_E_2898438,LA_0047,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_2898438.wav,LA_E_2898438,LA_0047,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_2898438.wav,LA_E_2898438,LA_0047,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_1629971.wav,LA_E_1629971,LA_0045,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_1629971.wav,LA_E_1629971,LA_0045,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_1629971.wav,LA_E_1629971,LA_0045,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_1629971.wav,LA_E_1629971,LA_0045,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_1629971.wav,LA_E_1629971,LA_0045,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_1629971.wav,LA_E_1629971,LA_0045,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_7776921.wav,LA_E_7776921,LA_0007,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_7776921.wav,LA_E_7776921,LA_0007,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_7776921.wav,LA_E_7776921,LA_0007,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_7776921.wav,LA_E_7776921,LA_0007,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_7776921.wav,LA_E_7776921,LA_0007,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_7776921.wav,LA_E_7776921,LA_0007,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_5020759.wav,LA_E_5020759,LA_0061,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_5020759.wav,LA_E_5020759,LA_0061,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_5020759.wav,LA_E_5020759,LA_0061,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_5020759.wav,LA_E_5020759,LA_0061,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_5020759.wav,LA_E_5020759,LA_0061,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_5020759.wav,LA_E_5020759,LA_0061,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_7849343.wav,LA_E_7849343,LA_0013,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_7849343.wav,LA_E_7849343,LA_0013,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_7849343.wav,LA_E_7849343,LA_0013,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_7849343.wav,LA_E_7849343,LA_0013,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_7849343.wav,LA_E_7849343,LA_0013,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_7849343.wav,LA_E_7849343,LA_0013,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_5474666.wav,LA_E_5474666,LA_0045,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_5474666.wav,LA_E_5474666,LA_0045,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_5474666.wav,LA_E_5474666,LA_0045,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_5474666.wav,LA_E_5474666,LA_0045,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_5474666.wav,LA_E_5474666,LA_0045,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_5474666.wav,LA_E_5474666,LA_0045,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_2368594.wav,LA_E_2368594,LA_0027,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_2368594.wav,LA_E_2368594,LA_0027,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_2368594.wav,LA_E_2368594,LA_0027,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_2368594.wav,LA_E_2368594,LA_0027,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_2368594.wav,LA_E_2368594,LA_0027,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_2368594.wav,LA_E_2368594,LA_0027,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_2692228.wav,LA_E_2692228,LA_0035,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_2692228.wav,LA_E_2692228,LA_0035,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_2692228.wav,LA_E_2692228,LA_0035,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_2692228.wav,LA_E_2692228,LA_0035,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_2692228.wav,LA_E_2692228,LA_0035,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_2692228.wav,LA_E_2692228,LA_0035,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_1033108.wav,LA_E_1033108,LA_0051,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_1033108.wav,LA_E_1033108,LA_0051,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_1033108.wav,LA_E_1033108,LA_0051,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_1033108.wav,LA_E_1033108,LA_0051,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_1033108.wav,LA_E_1033108,LA_0051,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_1033108.wav,LA_E_1033108,LA_0051,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_6459008.wav,LA_E_6459008,LA_0034,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_6459008.wav,LA_E_6459008,LA_0034,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_6459008.wav,LA_E_6459008,LA_0034,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_6459008.wav,LA_E_6459008,LA_0034,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_6459008.wav,LA_E_6459008,LA_0034,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_6459008.wav,LA_E_6459008,LA_0034,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_7824929.wav,LA_E_7824929,LA_0033,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_7824929.wav,LA_E_7824929,LA_0033,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_7824929.wav,LA_E_7824929,LA_0033,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_7824929.wav,LA_E_7824929,LA_0033,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_7824929.wav,LA_E_7824929,LA_0033,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_7824929.wav,LA_E_7824929,LA_0033,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_5331965.wav,LA_E_5331965,LA_0066,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_5331965.wav,LA_E_5331965,LA_0066,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_5331965.wav,LA_E_5331965,LA_0066,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_5331965.wav,LA_E_5331965,LA_0066,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_5331965.wav,LA_E_5331965,LA_0066,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_5331965.wav,LA_E_5331965,LA_0066,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_9112290.wav,LA_E_9112290,LA_0002,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_9112290.wav,LA_E_9112290,LA_0002,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_9112290.wav,LA_E_9112290,LA_0002,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_9112290.wav,LA_E_9112290,LA_0002,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_9112290.wav,LA_E_9112290,LA_0002,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_9112290.wav,LA_E_9112290,LA_0002,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_1836574.wav,LA_E_1836574,LA_0032,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_1836574.wav,LA_E_1836574,LA_0032,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_1836574.wav,LA_E_1836574,LA_0032,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_1836574.wav,LA_E_1836574,LA_0032,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_1836574.wav,LA_E_1836574,LA_0032,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_1836574.wav,LA_E_1836574,LA_0032,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_3865142.wav,LA_E_3865142,LA_0022,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_3865142.wav,LA_E_3865142,LA_0022,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_3865142.wav,LA_E_3865142,LA_0022,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_3865142.wav,LA_E_3865142,LA_0022,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_3865142.wav,LA_E_3865142,LA_0022,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_3865142.wav,LA_E_3865142,LA_0022,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_7660982.wav,LA_E_7660982,LA_0051,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_7660982.wav,LA_E_7660982,LA_0051,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_7660982.wav,LA_E_7660982,LA_0051,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_7660982.wav,LA_E_7660982,LA_0051,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_7660982.wav,LA_E_7660982,LA_0051,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_7660982.wav,LA_E_7660982,LA_0051,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_1475429.wav,LA_E_1475429,LA_0029,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_1475429.wav,LA_E_1475429,LA_0029,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_1475429.wav,LA_E_1475429,LA_0029,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_1475429.wav,LA_E_1475429,LA_0029,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_1475429.wav,LA_E_1475429,LA_0029,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_1475429.wav,LA_E_1475429,LA_0029,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_2357550.wav,LA_E_2357550,LA_0003,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_2357550.wav,LA_E_2357550,LA_0003,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_2357550.wav,LA_E_2357550,LA_0003,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_2357550.wav,LA_E_2357550,LA_0003,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_2357550.wav,LA_E_2357550,LA_0003,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_2357550.wav,LA_E_2357550,LA_0003,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_1781711.wav,LA_E_1781711,LA_0006,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_1781711.wav,LA_E_1781711,LA_0006,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_1781711.wav,LA_E_1781711,LA_0006,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_1781711.wav,LA_E_1781711,LA_0006,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_1781711.wav,LA_E_1781711,LA_0006,test,narrowband_8k,narrowband
